Num,Sat,ValX,ValY
1,5,0,0
1,5,255,17.26
2,5,0,0
2,5,255,17.2
3,5,0,-0.68
3,5,255,0.68
7,5,0,0
7,5,255,1030
8,5,0,0
8,5,6,14.5
8,5,48,114.5
8,5,93,214.5
8,5,135,314.5
8,5,255,510
10,5,0,0
10,5,255,1030
15,5,0,160
15,5,23,140
15,5,34,125
15,5,50,109.5
15,5,68,97
15,5,85,88
15,5,204,40
15,5,230,24
15,5,247,10
15,5,255,0
19,5,33,99.99
19,5,35,95
19,5,37,90
19,5,43,85
19,5,48,80
19,5,55,75
19,5,154,40
19,5,171,35
19,5,177,30
19,5,181,25
21,5,22,70
21,5,31,60
21,5,41,50
21,5,57,40
21,5,82,30
21,5,109,20
21,5,140,10
21,5,165,0
21,5,200,-10
21,5,255,-40
27,5,5,150
27,5,12,115
27,5,21,95
27,5,34,80
27,5,54,65
27,5,85,50
27,5,178,20
27,5,213,5
27,5,235,-10
27,5,255,-30
28,5,0,-0.2788
28,5,82,-0.1
28,5,128,0
28,5,175,0.1
28,5,255,0.2733
29,5,0,-0.2744
29,5,81,-0.1
29,5,128,0
29,5,175,0.1
29,5,255,0.2687
30,5,0,0
30,5,255,255
31,5,0,0
31,5,255,6.89
32,5,46,70
32,5,86,200
32,5,150,400
32,5,255,676
41,5,86,-140
41,5,101,-120
41,5,116,-100
41,5,145,-60
41,5,171,-20
41,5,184,0
41,5,196,20
41,5,220,60
41,5,243,100
41,5,255,121
47,5,21,75
47,5,36,60
47,5,46,50
47,5,98,25
47,5,174,0
47,5,225,-20
47,5,250,-33
48,5,8,163
48,5,16,143
48,5,35,113
48,5,61,93
48,5,100,73
48,5,151,43
48,5,198,33
48,5,229,13
48,5,245,-7
48,5,251,-27
60,5,0,0
60,5,255,6.24
61,5,0,0
61,5,221,15
61,5,255,17.26
62,5,43,0.1
62,5,120,0.5
62,5,162,0.694
62,5,255,1.15
63,5,40,55
63,5,47,50
63,5,55,45
63,5,63,40
63,5,74,35
63,5,86,30
63,5,142,10
63,5,189,-5
63,5,214,-15
63,5,233,-25
66,5,3,0
66,5,70,1000
66,5,143,2000
66,5,255,3570
67,5,3,0
67,5,70,1000
67,5,140,2000
67,5,255,3639
68,5,3,0
68,5,75,1000
68,5,152,2000
68,5,255,3350
69,5,3,0
69,5,71,300
69,5,165,700
69,5,255,1078
78,5,0,0
78,5,255,6.216
79,5,0,0
79,5,255,6.222
80,5,0,0
80,5,255,33.17
81,5,0,0
81,5,255,14.71
82,5,0,0
82,5,255,11.29
83,5,0,0
83,5,250,5.86
83,5,255,5.98
84,5,0,0
84,5,255,27.18
85,5,0,0
85,5,255,6.233
86,5,0,0
86,5,255,6.227
87,5,21,75
87,5,31,63.43
87,5,40,55.26
87,5,46,50.91
87,5,55,45.22
87,5,64,40.12
87,5,76,34.54
87,5,87,29.69
87,5,175,0.58
87,5,216,-14.89
87,5,244,-30.53
88,5,0,0
88,5,70,6.78
88,5,124,11.8
88,5,137,13
88,5,155,14.65
88,5,159,15
88,5,169,16
88,5,180,17
88,5,193,18.2
88,5,255,24.05
89,5,83,35
89,5,95,29
89,5,104,25
89,5,115,21
89,5,133,15
89,5,151,10
89,5,170,5
89,5,191,0
89,5,212,-5
89,5,234,-10
90,5,0,0
90,5,3,0
90,5,13,0.073
90,5,78,0.467
90,5,116,0.697
90,5,255,1.603
91,5,0,0
91,5,1,0
91,5,255,17.65
92,5,102,-120
92,5,117,-100
92,5,145,-60
92,5,172,-20
92,5,185,0
92,5,198,20
92,5,222,60
92,5,245,100
92,5,255,120
93,5,82,35
93,5,94,29
93,5,103,25
93,5,114,21
93,5,132,15
93,5,150,10
93,5,169,5
93,5,190,0
93,5,211,-5
93,5,233,-10
94,5,0,0
94,5,255,6.221
95,5,0,0
95,5,255,6.232
96,5,0,0
96,5,1,0
96,5,255,16.8
97,5,0,0
97,5,255,15.53
98,5,0,0
98,5,255,27.15
99,5,0,0
99,5,3,0
99,5,13,0.068
99,5,78,0.469
99,5,116,0.698
99,5,255,1.573
100,5,0,0
100,5,255,6.216
101,5,0,0
101,5,3,0
101,5,8,200
101,5,20,487
101,5,42,1008
101,5,83,1990
101,5,125,3001
101,5,167,4001
101,5,209,5004
101,5,255,6122
104,5,0,-138.6
104,5,28,-152.4
104,5,57,-161.8
104,5,85,-169.1
104,5,113,-175.4
104,5,142,-181.3
104,5,170,-186.7
104,5,198,-191.8
104,5,227,-197.2
104,5,255,-202.5
105,5,0,0
105,5,255,15.3
106,5,0,-19.25
106,5,240,0
106,5,255,1.2
107,5,0,0
107,5,200,9.33
107,5,210,9.79
107,5,214,9.97
107,5,254,11.83
107,5,255,28
109,5,0,0
109,5,175,7
109,5,249,9.96
112,5,0,0
112,5,255,5.1
113,5,57,89.96
113,5,85,72.85
113,5,113,59.7
113,5,142,47.76
113,5,170,36.5
113,5,198,24.18
113,5,227,7.35
113,5,255,-37.39
114,5,0,7.99
114,5,28,9.36
114,5,57,10.76
114,5,85,12.1
114,5,113,13.44
114,5,142,14.81
114,5,170,16.13
114,5,198,17.46
114,5,227,18.84
114,5,255,20.18
115,5,0,15.85
115,5,28,17.17
115,5,57,18.54
115,5,85,19.88
115,5,113,21.22
115,5,142,22.62
115,5,170,23.99
115,5,198,25.38
115,5,227,26.83
115,5,255,28.26
116,5,0,23.72
116,5,28,25.01
116,5,57,26.37
116,5,85,27.7
116,5,113,29.05
116,5,142,30.48
116,5,170,31.88
116,5,198,33.31
116,5,227,34.82
116,5,255,36.31
117,5,0,-73.92
117,5,28,-41.01
117,5,57,-28.79
117,5,85,-20.07
117,5,113,-12.33
117,5,142,-4.41
117,5,170,3.87
117,5,198,13.8
117,5,227,28.45
117,5,255,59.37
118,5,1,-62.33
118,5,28,-12.37
118,5,57,2.21
118,5,85,11.67
118,5,113,19.26
118,5,142,26.1
118,5,170,32.14
118,5,198,37.89
118,5,227,43.73
118,5,255,49.4
119,5,1,-61.02
119,5,28,-10.75
119,5,57,3.9
119,5,85,13.39
119,5,113,21
119,5,142,27.85
119,5,170,33.9
119,5,198,39.65
119,5,227,45.49
119,5,255,51.15
120,5,1,-62.63
120,5,28,-13.19
120,5,57,1.28
120,5,85,10.66
120,5,113,18.18
120,5,142,24.94
120,5,170,30.91
120,5,198,36.59
120,5,227,42.34
120,5,255,47.93
121,5,1,-61.94
121,5,28,-12.57
121,5,57,1.84
121,5,85,11.18
121,5,113,18.67
121,5,142,25.41
121,5,170,31.36
121,5,198,37.01
121,5,227,42.75
121,5,255,48.32
122,5,1,-62.45
122,5,28,-12.68
122,5,57,1.83
122,5,85,11.22
122,5,113,18.76
122,5,142,25.54
122,5,170,31.52
122,5,198,37.21
122,5,227,42.99
122,5,255,48.59
123,5,1,-61.81
123,5,28,-12.31
123,5,57,2.07
123,5,85,11.38
123,5,113,18.85
123,5,142,25.57
123,5,170,31.5
123,5,198,37.14
123,5,227,42.87
123,5,255,48.43
124,5,0,-172.6
124,5,28,-167.8
124,5,57,-162.8
124,5,85,-157.6
124,5,113,-152.1
124,5,142,-145.6
124,5,170,-138.4
124,5,198,-129.6
124,5,227,-117.3
124,5,255,-99.2
125,5,1,-55.12
125,5,28,-1.13
125,5,57,15.05
125,5,85,26.08
125,5,113,35.54
125,5,142,44.8
125,5,170,53.9
125,5,198,63.82
125,5,227,75.99
125,5,255,91.58
126,5,0,21.24
126,5,28,22.72
126,5,57,24.27
126,5,85,25.78
126,5,113,27.32
126,5,142,28.95
126,5,170,30.55
126,5,198,32.19
126,5,227,33.93
126,5,255,37.67
127,5,0,11.7
127,5,28,13.24
127,5,57,14.82
127,5,85,16.36
127,5,113,17.89
127,5,142,19.49
127,5,170,21.04
127,5,198,22.61
127,5,227,24.26
127,5,255,25.87
128,5,0,1.86
128,5,28,3.49
128,5,57,5.14
128,5,85,6.7
128,5,113,8.24
128,5,142,9.81
128,5,170,11.31
128,5,198,12.8
128,5,227,14.33
128,5,255,15.81
131,5,0,0
131,5,250,13.51
131,5,255,13.78
132,5,35,75
132,5,50,275
132,5,100,860
132,5,125,1120
132,5,150,1400
132,5,200,1950
132,5,250,2500
132,5,255,2550
133,5,0,0
133,5,248,6.553
133,5,255,6.737
134,5,0,60.86
134,5,28,62.48
134,5,57,64.16
134,5,85,65.78
134,5,113,67.43
134,5,142,69.17
134,5,170,70.91
134,5,198,72.69
134,5,227,74.61
134,5,255,76.53
135,5,0,70.55
135,5,28,72.21
135,5,57,73.99
135,5,85,75.76
135,5,113,77.6
135,5,142,79.56
135,5,170,81.52
135,5,198,83.53
135,5,227,85.66
135,5,255,87.74
136,5,0,49.88
136,5,28,52.08
136,5,57,54.18
136,5,85,56.05
136,5,113,57.83
136,5,142,59.58
136,5,170,61.23
136,5,198,62.86
136,5,227,64.53
136,5,255,66.16
144,5,0,0
144,5,255,5.1
145,5,22,0
145,5,255,2.77
150,5,0,0
150,5,255,99.99
160,5,0,0
160,5,50,1
160,5,120,2.4
160,5,175,3.5
160,5,230,4.6
193,5,0,-120
193,5,185,-120
193,5,191,-118
193,5,199,-115
193,5,203,-113
193,5,209,-110
193,5,211,-108
193,5,222,-100
193,5,230,-90
193,5,241,-70
193,5,245,-50
193,5,255,-50
195,5,0,0
195,5,170,2160
195,5,255,3240
196,5,0,0
196,5,141,2097
196,5,255,3792
197,5,32,60
197,5,58,45
197,5,80,35
197,5,107,25
197,5,130,15
197,5,157,5
197,5,195,-10
197,5,203,-15
197,5,220,-25
197,5,233,-40
199,5,86,150
199,5,93,120
199,5,98,100
199,5,109,50
199,5,116,20
199,5,120,0
199,5,124,-20
199,5,130,-50
199,5,139,-100
199,5,149,-150
200,5,211,-120
200,5,212,-118
200,5,217,-115
200,5,220,-113
200,5,223,-110
200,5,225,-108
200,5,233,-100
200,5,239,-90
200,5,245,-70
200,5,248,-50
194,5,205,-120
194,5,211,-118
194,5,216,-115
194,5,219,-113
194,5,223,-110
194,5,226,-108
194,5,233,-100
194,5,238,-90
194,5,244,-70
194,5,247,-50
1,6,0,0
1,6,255,17.1
2,6,0,0
2,6,255,17.17
3,6,0,-0.7
3,6,255,0.067
7,6,0,0
7,6,255,1030
8,6,0,8.7
8,6,3,14.5
8,6,52,111.3
8,6,102,211.3
8,6,153,313.8
8,6,174,354.9
8,6,255,510
10,6,0,0
10,6,255,1030
15,6,0,160
15,6,23,140
15,6,34,125
15,6,50,109.5
15,6,68,97
15,6,85,88
15,6,204,40
15,6,230,24
15,6,247,10
15,6,255,0
19,6,33,99.99
19,6,35,95
19,6,37,90
19,6,43,85
19,6,48,80
19,6,55,75
19,6,154,40
19,6,171,35
19,6,177,30
19,6,181,25
21,6,22,70
21,6,31,60
21,6,41,50
21,6,57,40
21,6,82,30
21,6,109,20
21,6,140,10
21,6,165,0
21,6,200,-10
21,6,255,-40
27,6,5,150
27,6,12,115
27,6,21,95
27,6,34,80
27,6,54,65
27,6,85,50
27,6,178,20
27,6,213,5
27,6,235,-10
27,6,255,-30
28,6,0,-0.2853
28,6,83,-0.1
28,6,128,0
28,6,173,0.1
28,6,255,0.2795
29,6,0,-0.2851
29,6,83,-0.1
29,6,128,0
29,6,173,0.1
29,6,255,0.2792
30,6,0,0
30,6,255,255
31,6,0,0
31,6,255,6.74
32,6,47,74
32,6,150,399
32,6,255,710
41,6,86,-140
41,6,101,-120
41,6,116,-100
41,6,145,-60
41,6,171,-20
41,6,184,0
41,6,196,20
41,6,220,60
41,6,243,100
41,6,255,121
47,6,21,75
47,6,36,60
47,6,46,50
47,6,98,25
47,6,174,0
47,6,225,-20
47,6,250,-33
48,6,8,163
48,6,16,143
48,6,35,113
48,6,61,93
48,6,100,73
48,6,151,43
48,6,198,33
48,6,229,13
48,6,245,-7
48,6,251,-27
60,6,0,0
60,6,255,6.194
61,6,0,0
61,6,221,15
61,6,255,17.22
62,6,35,0
62,6,44,0.11
62,6,166,0.703
62,6,255,1.1
63,6,34,59.82
63,6,47,50
63,6,55,45
63,6,63,40
63,6,98,25
63,6,127,15
63,6,174,0
63,6,214,-15
63,6,240,-30
63,6,247,-35.17
66,6,3,0
66,6,72,1000
66,6,145,2000
66,6,194,2750
66,6,255,3609
67,6,3,0
67,6,71,1000
67,6,141,2000
67,6,212,3000
67,6,255,3603
68,6,3,0
68,6,97,1000
68,6,144,2000
68,6,199,2750
68,6,255,3510
69,6,3,0
69,6,22,100
69,6,72,300
69,6,120,500
69,6,167,700
69,6,205,850
69,6,255,1057
78,6,0,0
78,6,255,6.211
79,6,0,0
79,6,255,6.212
80,6,0,0
80,6,255,33.2
81,6,0,0
81,6,255,14.86
82,6,0,0
82,6,255,10.25
83,6,0,0
83,6,250,5.86
83,6,255,5.98
84,6,0,0
84,6,255,26.97
85,6,0,0
85,6,255,6.202
86,6,0,0
86,6,255,6.211
87,6,31,63.43
87,6,40,55.26
87,6,46,50.91
87,6,55,45.22
87,6,64,40.12
87,6,76,34.54
87,6,87,29.69
87,6,175,0.58
87,6,216,-14.89
87,6,244,-30.53
88,6,0,0
88,6,255,24.01
89,6,81,34
89,6,93,28
89,6,102,24
89,6,113,20
89,6,131,14
89,6,149,9
89,6,168,4
89,6,189,-1
89,6,210,-6
89,6,232,-11
90,6,0,0
90,6,3,0
90,6,12,0.067
90,6,13,0.073
90,6,78,0.471
90,6,116,0.707
90,6,255,1.561
