fl_wl;fl_irr
0.300000; 475.799988
0.302500; 544.849976
0.305000; 587.619995
0.307500; 641.559998
0.310000; 608.150024
0.312500; 716.309998
0.315000; 677.020020
0.317500; 712.340027
0.320000; 785.979980
0.322500; 686.229980
0.325000; 862.809998
0.327500; 1006.390015
0.330000; 1082.510010
0.332500; 1017.119995
0.335000; 975.049988
0.337500; 946.059998
0.340000; 1051.239990
0.342500; 1025.609985
0.345000; 961.770020
0.347500; 991.130005
0.350000; 1053.160034
0.352500; 1041.979980
0.355000; 1165.339966
0.357500; 861.070007
0.360000; 1046.000000
0.362500; 1074.829956
0.365000; 1217.849976
0.367500; 1227.040039
0.370000; 1173.459961
0.372500; 1101.329956
0.375000; 982.369995
0.377500; 1339.689941
0.380000; 1153.550049
0.382500; 794.909973
0.385000; 862.669983
0.387500; 961.909973
0.390000; 1246.270020
0.392500; 977.539978
0.395000; 1210.719971
0.397500; 1029.619995
0.400000; 1743.319946
0.402500; 1712.760010
0.405000; 1713.150024
0.407500; 1613.819946
0.410000; 1750.540039
0.412500; 1810.209961
0.415000; 1808.819946
0.417500; 1775.390015
0.420000; 1671.810059
0.422500; 1663.930054
0.425000; 1619.500000
0.427500; 1582.619995
0.430000; 1160.180054
0.432500; 1701.390015
0.435000; 1626.839966
0.437500; 1727.030029
0.440000; 1737.270020
0.442500; 1875.270020
0.445000; 1871.750000
0.447500; 1976.160034
0.450000; 2088.729980
0.452500; 1968.239990
0.455000; 2060.050049
0.457500; 2075.770020
0.460000; 2064.860107
0.462500; 2045.349976
0.465000; 2055.270020
0.467500; 2055.250000
0.470000; 2051.610107
0.472500; 2088.090088
0.475000; 2107.719971
0.477500; 2112.959961
0.480000; 2065.370117
0.482500; 2105.909912
0.485000; 1929.670044
0.487500; 1874.949951
0.490000; 1985.969971
0.492500; 1956.219971
0.495000; 2034.030029
0.497500; 1943.310059
0.500000; 1932.540039
0.502500; 1903.099976
0.505000; 1953.589966
0.507500; 1944.680054
0.510000; 1964.140015
0.512500; 1970.670044
0.515000; 1868.260010
0.517500; 1609.099976
0.520000; 1826.599976
0.522500; 1877.689941
0.525000; 1931.900024
0.527500; 1767.569946
0.530000; 1967.209961
0.532500; 1862.099976
0.535000; 1909.650024
0.537500; 1910.849976
0.540000; 1833.130005
0.542500; 1878.500000
0.545000; 1932.140015
0.547500; 1885.479980
0.550000; 1869.729980
0.552500; 1873.069946
0.555000; 1910.869995
0.557500; 1846.459961
0.560000; 1834.550049
0.562500; 1864.219971
0.565000; 1836.069946
0.567500; 1860.540039
0.570000; 1833.260010
0.572500; 1895.319946
0.575000; 1865.599976
0.577500; 1845.890015
0.580000; 1852.979980
0.582500; 1872.599976
0.585000; 1835.369995
0.587500; 1837.640015
0.590000; 1722.979980
0.592500; 1802.140015
0.595000; 1815.589966
0.597500; 1808.250000
0.600000; 1780.839966
0.602500; 1761.469971
0.605000; 1799.390015
0.607500; 1765.560059
0.610000; 1733.800049
0.612500; 1713.020020
0.615000; 1661.109985
0.617500; 1661.599976
0.620000; 1711.319946
0.622500; 1675.050049
0.625000; 1625.989990
0.627500; 1684.599976
0.630000; 1675.829956
0.632500; 1635.510010
0.635000; 1630.270020
0.637500; 1645.150024
0.640000; 1626.869995
0.642500; 1609.569946
0.645000; 1608.670044
0.647500; 1592.250000
0.650000; 1566.250000
0.652500; 1599.209961
0.655000; 1530.569946
0.657500; 1430.939941
0.660000; 1555.469971
0.662500; 1568.420044
0.665000; 1556.770020
0.667500; 1541.369995
0.670000; 1546.390015
0.672500; 1520.780029
0.675000; 1522.660034
0.677500; 1513.000000
0.680000; 1499.569946
0.682500; 1501.170044
0.685000; 1469.849976
0.687500; 1479.030029
0.690000; 1482.939941
0.692500; 1454.969971
0.695000; 1453.739990
0.697500; 1442.319946
0.700000; 1435.079956
0.702500; 1404.819946
0.705000; 1422.500000
0.707500; 1406.780029
0.710000; 1404.630005
0.712500; 1377.130005
0.715000; 1372.900024
0.717500; 1355.699951
0.720000; 1329.239990
0.722500; 1353.650024
0.725000; 1354.900024
0.727500; 1338.969971
0.730000; 1311.170044
0.732500; 1320.250000
0.735000; 1326.689941
0.737500; 1313.170044
0.740000; 1275.930054
0.742500; 1274.040039
0.745000; 1285.680054
0.747500; 1282.869995
0.750000; 1271.489990
0.752500; 1264.209961
0.755000; 1270.560059
0.757500; 1252.859985
0.760000; 1251.459961
0.762500; 1239.599976
0.765000; 1233.900024
0.767500; 1214.520020
0.770000; 1219.760010
0.772500; 1204.500000
0.775000; 1198.000000
0.777500; 1208.489990
0.780000; 1196.520020
0.782500; 1187.670044
0.785000; 1178.310059
0.787500; 1180.680054
0.790000; 1174.790039
0.792500; 1142.349976
0.795000; 1128.790039
0.797500; 1152.510010
0.800000; 1137.550049
0.802500; 1132.930054
0.805000; 1119.920044
0.807500; 1118.130005
0.810000; 1102.390015
0.812500; 1110.989990
0.815000; 1103.959961
0.817500; 1086.069946
0.820000; 1063.430054
0.822500; 1060.449951
0.825000; 1071.609985
0.827500; 1076.199951
0.830000; 1054.380005
0.832500; 1040.390015
0.835000; 1042.329956
0.837500; 1042.819946
0.840000; 1029.800049
0.842500; 1025.790039
0.845000; 1018.739990
0.847500; 1013.179993
0.850000; 966.630005
0.852500; 986.140015
0.855000; 865.960022
0.857500; 996.659973
0.860000; 984.150024
0.862500; 980.270020
0.865000; 961.330017
0.867500; 873.739990
0.870000; 952.460022
0.872500; 961.679993
0.875000; 937.739990
0.877500; 956.739990
0.880000; 925.010010
0.882500; 938.179993
0.885000; 934.200012
0.887500; 912.099976
0.890000; 935.900024
0.892500; 916.140015
0.895000; 917.400024
0.897500; 913.289978
0.900000; 896.200012
0.902500; 874.880005
0.905000; 907.159973
0.907500; 884.210022
0.910000; 868.539978
0.912500; 878.599976
0.915000; 878.250000
0.917500; 867.539978
0.920000; 861.890015
0.922500; 823.450012
0.925000; 832.969971
0.927500; 851.940002
0.930000; 844.640015
0.932500; 843.349976
0.935000; 836.150024
0.937500; 833.580017
0.940000; 818.750000
0.942500; 802.260010
0.945000; 808.630005
0.947500; 815.840027
0.950000; 812.690002
0.952500; 806.489990
0.955000; 774.570007
0.957500; 794.929993
0.960000; 791.210022
0.962500; 786.880005
0.965000; 775.419983
0.967500; 779.770020
0.970000; 776.140015
0.972500; 776.000000
0.975000; 765.460022
0.977500; 762.650024
