Lowerlim;Irrad_Wm-2micron-1
0.3;373
0.301;500
0.302;481
0.303;621
0.304;592
0.305;626
0.306;573
0.307;652
0.308;672
0.309;533
0.31;617
0.311;795
0.312;676
0.313;756
0.314;632
0.315;726
0.316;573
0.317;924
0.318;596
0.319;760
0.32;860
0.321;684
0.322;683
0.323;666
0.324;832
0.325;908
0.326;1049
0.327;996
0.328;924
0.329;1171
0.33;1056
0.331;1004
0.332;1064
0.333;968
0.334;1061
0.335;1060
0.336;826
0.337;912
0.338;953
0.339;1035
0.34;1096
0.341;966
0.342;1009
0.343;1101
0.344;842
0.345;1055
0.346;972
0.347;902
0.348;1157
0.349;878
0.35;1166
0.351;1049
0.352;963
0.353;1119
0.354;1208
0.355;1167
0.356;1038
0.357;911
0.358;659
0.359;1174
0.36;1070
0.361;1014
0.362;1184
0.363;966
0.364;1061
0.365;1332
0.366;1314
0.367;1256
0.368;1113
0.369;1305
0.37;1124
0.371;1391
0.372;941
0.373;841
0.374;928
0.375;1087
0.376;1074
0.377;1349
0.378;1463
0.379;996
0.38;1261
0.381;1130
0.382;709
0.383;662
0.384;955
0.385;927
0.386;967
0.387;867
0.388;887
0.389;1288
0.39;1263
0.391;1509
0.392;1045
0.393;402
0.394;1126
0.395;1399
0.396;784
0.397;940
0.398;1644
0.399;1670
0.4;1767
0.401;1741
0.402;1788
0.403;1722
0.404;1560
0.405;1733
0.406;1622
0.407;1570
0.408;1808
0.409;1845
0.41;1572
0.411;1912
0.412;1823
0.413;1734
0.414;1764
0.415;1785
0.416;1897
0.417;1671
0.418;1746
0.419;1643
0.42;1683
0.421;1753
0.422;1593
0.423;1658
0.424;1689
0.425;1660
0.426;1646
0.427;1476
0.428;1532
0.429;1341
0.43;949
0.431;1454
0.432;1570
0.433;1826
0.434;1552
0.435;1697
0.436;1878
0.437;1739
0.438;1564
0.439;1743
0.44;1687
0.441;1856
0.442;1955
0.443;1857
0.444;1923
0.445;1809
0.446;1881
0.447;2039
0.448;1979
0.449;1959
0.45;2196
0.451;2114
0.452;1977
0.453;1929
0.454;2025
0.455;2035
0.456;2129
0.457;2131
0.458;1965
0.459;2062
0.46;2045
0.461;2065
0.462;2072
0.463;1989
0.464;2087
0.465;2006
0.466;2045
0.467;2126
0.468;2049
0.469;2118
0.47;1994
0.471;2075
0.472;2104
0.473;2033
0.474;2090
0.475;2131
0.476;2050
0.477;2166
0.478;2108
0.479;2084
0.48;2060
0.481;2084
0.482;2134
0.483;2080
0.484;1991
0.485;1950
0.486;1633
0.487;1889
0.488;1989
0.489;1979
0.49;2064
0.491;1914
0.492;1900
0.493;1997
0.494;2055
0.495;2006
0.496;2052
0.497;2025
0.498;1834
0.499;2000
0.5;1803
0.501;1891
0.502;1891
0.503;1972
0.504;1881
0.505;1991
0.506;2026
0.507;1982
0.508;1860
0.509;2029
0.51;1922
0.511;2021
0.512;1898
0.513;1936
0.514;1793
0.515;1924
0.516;1727
0.517;1626
0.518;1624
0.519;1780
0.52;1851
0.521;1891
0.522;1864
0.523;1886
0.524;1967
0.525;1913
0.526;1692
0.527;1760
0.528;1937
0.529;1927
0.53;1967
0.531;1980
0.532;1824
0.533;1797
0.534;1850
0.535;1989
0.536;1919
0.537;1901
0.538;1926
0.539;1870
0.54;1789
0.541;1854
0.542;1930
0.543;1825
0.544;1925
0.545;1917
0.546;1924
0.547;1858
0.548;1891
0.549;1854
0.55;1880
0.551;1876
0.552;1884
0.553;1883
0.554;1926
0.555;1885
0.556;1855
0.557;1835
0.558;1821
0.559;1816
0.56;1859
0.561;1862
0.562;1851
0.563;1899
0.564;1886
0.565;1825
0.566;1776
0.567;1893
0.568;1844
0.569;1871
0.57;1825
0.571;1814
0.572;1917
0.573;1907
0.574;1883
0.575;1836
0.576;1867
0.577;1870
0.578;1805
0.579;1851
0.58;1854
0.581;1851
0.582;1891
0.583;1868
0.584;1862
0.585;1812
0.586;1808
0.587;1861
0.588;1818
0.589;1569
0.59;1825
0.591;1798
0.592;1818
0.593;1802
0.594;1824
0.595;1794
0.596;1825
0.597;1796
0.598;1797
0.599;1794
0.6;1774
0.601;1756
0.602;1747
0.603;1787
0.604;1806
0.605;1786
0.606;1767
0.607;1792
0.608;1743
0.609;1748
0.61;1705
0.611;1748
0.612;1692
0.613;1648
0.614;1677
0.615;1689
0.616;1607
0.617;1656
0.618;1728
0.619;1691
0.62;1723
0.621;1697
0.622;1687
0.623;1646
0.624;1616
0.625;1624
0.626;1664
0.627;1695
0.628;1688
0.629;1686
0.63;1650
0.631;1621
0.632;1645
0.633;1637
0.634;1641
0.635;1639
0.636;1612
0.637;1662
0.638;1647
0.639;1634
0.64;1610
0.641;1606
0.642;1613
0.643;1609
0.644;1614
0.645;1592
0.646;1578
0.647;1602
0.648;1617
0.649;1514
0.65;1586
0.651;1605
0.652;1596
0.653;1595
0.654;1563
0.655;1520
0.656;1229
0.657;1505
0.658;1573
0.659;1536
0.66;1578
0.661;1571
0.662;1579
0.663;1540
0.664;1543
0.665;1566
0.666;1525
