Wavelength_(microns);Solar_Flux_(W/m^2/micron)
0.101;4.20E-03
0.1023;1.31E-01
0.103;8.08E-02
0.1047;3.51E-02
0.1084;1.58E-02
0.1132;3.17E-02
0.1172;3.75E-02
0.12;1.28E-01
0.1213;9.52E+00
0.1233;3.75E-02
0.1275;3.64E-02
0.1325;5.27E-02
0.1375;4.86E-02
0.1425;5.48E-02
0.1475;8.24E-02
0.1525;1.69E-01
0.1575;1.82E-01
0.1625;3.30E-01
0.1675;5.66E-01
0.1725;1.06E+00
0.1775;1.81E+00
0.1806;2.83E+00
0.1823;1.50E+00
0.1843;1.86E+00
0.1861;2.24E+00
0.1878;2.85E+00
0.1896;3.27E+00
0.1914;3.76E+00
0.1932;3.82E+00
0.1951;5.10E+00
0.197;5.98E+00
0.2005;7.03E+00
0.2015;7.18E+00
0.2025;7.88E+00
0.2035;8.70E+00
0.2045;9.47E+00
0.2055;9.56E+00
0.2065;1.02E+01
0.2075;1.15E+01
0.2085;1.46E+01
0.2095;2.42E+01
0.2105;2.75E+01
0.2115;3.39E+01
0.2125;3.02E+01
0.2135;3.19E+01
0.2145;4.10E+01
0.2155;3.69E+01
0.2165;3.42E+01
0.2175;3.61E+01
0.2185;4.49E+01
0.2195;4.76E+01
0.2205;4.81E+01
0.2215;3.93E+01
0.2225;5.06E+01
0.2235;6.59E+01
0.2245;5.79E+01
0.2255;5.39E+01
0.2265;4.10E+01
0.2275;4.09E+01
0.2285;5.40E+01
0.2295;4.78E+01
0.2305;5.63E+01
0.2315;5.00E+01
0.2325;5.49E+01
0.2335;4.59E+01
0.2345;3.93E+01
0.2355;5.69E+01
0.2365;4.92E+01
0.2375;5.33E+01
0.2385;4.19E+01
0.2395;4.65E+01
0.2405;4.31E+01
0.2415;5.25E+01
0.2425;7.25E+01
0.2435;6.54E+01
0.2445;6.24E+01
0.2455;5.11E+01
0.2465;5.15E+01
0.2475;5.71E+01
0.2485;4.52E+01
0.2495;5.84E+01
0.2505;5.92E+01
0.2515;4.66E+01
0.2525;4.40E+01
0.2535;5.55E+01
0.2545;6.08E+01
0.2555;8.85E+01
0.2565;1.07E+02
0.2575;1.29E+02
0.2585;1.34E+02
0.2595;1.08E+02
0.2605;1.02E+02
0.2615;1.03E+02
0.2625;1.21E+02
0.2635;1.75E+02
0.2645;2.74E+02
0.2655;2.80E+02
0.2665;2.61E+02
0.2675;2.70E+02
0.2685;2.60E+02
0.2695;2.52E+02
0.2705;2.93E+02
0.2715;2.32E+02
0.2725;2.15E+02
0.2735;2.04E+02
0.2745;1.37E+02
0.2755;2.00E+02
0.2765;2.58E+02
0.2775;2.40E+02
0.2785;1.66E+02
0.2795;8.94E+01
0.2805;1.12E+02
0.2815;2.31E+02
0.2825;3.07E+02
0.2835;3.30E+02
0.2845;2.44E+02
0.2855;1.41E+02
0.2865;3.20E+02
0.2875;3.71E+02
0.2885;3.07E+02
0.2895;4.56E+02
0.2905;6.23E+02
0.2915;6.00E+02
0.2925;5.45E+02
0.2935;5.45E+02
0.2945;5.09E+02
0.2955;5.48E+02
0.2965;4.92E+02
0.2975;5.31E+02
0.2985;4.13E+02
