   DataRelease = 1.0
   37    0.025
   0.3750   0.0000   0.1531
   0.4000   0.0520   0.0928
   0.4250   0.0940   0.0374
   0.4500   0.1350   0.0604
   0.4750   0.1940   0.1222
   0.5000   0.2520   0.1668
   0.5250   0.3380   0.1800
   0.5500   0.4240   0.1804
   0.5750   0.5310   0.1625
   0.6000   0.6370   0.1398
   0.6250   0.7160   0.1239
   0.6500   0.7990   0.1032
   0.6750   0.8870   0.0676
   0.7000   0.9800   0.0238
   0.7250   1.0000   0.0143
   0.7500   0.9760   0.0172
   0.7750   0.9650   0.0243
   0.8000   0.9460   0.0382
   0.8250   0.8960   0.0364
   0.8500   0.8380   0.0319
   0.8750   0.7810   0.0290
   0.9000   0.6960   0.0407
   0.9250   0.6080   0.0589
   0.9500   0.5200   0.0687
   0.9750   0.4250   0.0713
   1.0000   0.3300   0.0698
   1.0250   0.2200   0.0789
   1.0500   0.1100   0.0882
   1.0750   0.0580   0.0590
   1.1000   0.0050   0.0358
   1.1250   0.0002   0.0302
   1.1500   0.0000   0.0333
   1.1750   0.0000   0.0367
   1.2000   0.0000   0.0400
   1.2250   0.0000   0.0433
   1.2500   0.0000   0.0467
   1.2750   0.0000   0.0500
