   DataRelease = 1.0
  101    0.01
   0.3000   0.0000   0.0507
   0.3100   0.0174   0.0541
   0.3200   0.0347   0.0668
   0.3300   0.0521   0.0849
   0.3400   0.0695   0.1056
   0.3500   0.0869   0.1278
   0.3600   0.1141   0.1373
   0.3700   0.1414   0.1469
   0.3800   0.1720   0.1522
   0.3900   0.2060   0.1529
   0.4000   0.2399   0.1536
   0.4100   0.2740   0.1541
   0.4200   0.3082   0.1546
   0.4300   0.3422   0.1552
   0.4400   0.3762   0.1561
   0.4500   0.4101   0.1567
   0.4600   0.4338   0.1510
   0.4700   0.4242   0.1276
   0.4800   0.4495   0.0901
   0.4900   0.4747   0.0890
   0.5000   0.5091   0.0825
   0.5100   0.5455   0.0718
   0.5200   0.5848   0.0737
   0.5300   0.6283   0.0802
   0.5400   0.6636   0.0780
   0.5500   0.6530   0.0829
   0.5600   0.6419   0.0502
   0.5700   0.6455   0.0543
   0.5800   0.6737   0.0562
   0.5900   0.7106   0.0550
   0.6000   0.7313   0.0536
   0.6100   0.7566   0.0491
   0.6200   0.7929   0.0638
   0.6300   0.8495   0.0618
   0.6400   0.9152   0.0625
   0.6500   0.9561   0.0567
   0.6600   0.9778   0.0455
   0.6700   0.9732   0.0248
   0.6800   0.9727   0.0355
   0.6900   0.9596   0.0198
   0.7000   0.9692   0.0075
   0.7100   0.9758   0.0067
   0.7200   0.9899   0.0153
   0.7300   0.9995   0.0064
   0.7400   0.9737   0.0114
   0.7500   0.9944   0.0079
   0.7600   0.9783   0.0064
   0.7700   0.9949   0.0117
   0.7800   0.9904   0.0021
   0.7900   0.9949   0.0028
   0.8000   1.0000   0.0142
   0.8100   0.9990   0.0114
   0.8200   0.9949   0.0132
   0.8300   0.9641   0.0249
   0.8400   0.9475   0.0212
   0.8500   0.9217   0.0371
   0.8600   0.8813   0.0502
   0.8700   0.8288   0.0576
   0.8800   0.7793   0.0657
   0.8900   0.7227   0.0709
   0.9000   0.6601   0.0568
   0.9100   0.6061   0.0603
   0.9200   0.5510   0.0581
   0.9300   0.4722   0.0606
   0.9400   0.4247   0.0525
   0.9500   0.3626   0.0494
   0.9600   0.3096   0.0401
   0.9700   0.2697   0.0382
   0.9800   0.2283   0.0336
   0.9900   0.1995   0.0289
   1.0000   0.1682   0.0269
   1.0100   0.1424   0.0237
   1.0200   0.1222   0.0215
   1.0300   0.1076   0.0200
   1.0400   0.1030   0.0205
   1.0500   0.0811   0.0217
   1.0600   0.0695   0.0215
   1.0700   0.0594   0.0222
   1.0800   0.0506   0.0231
   1.0900   0.0431   0.0242
   1.1000   0.0366   0.0253
   1.1100   0.0310   0.0264
   1.1200   0.0261   0.0276
   1.1300   0.0220   0.0288
   1.1400   0.0185   0.0300
   1.1500   0.0155   0.0313
   1.1600   0.0130   0.0325
   1.1700   0.0108   0.0338
   1.1800   0.0090   0.0350
   1.1900   0.0075   0.0363
   1.2000   0.0062   0.0375
   1.2100   0.0051   0.0388
   1.2200   0.0042   0.0400
   1.2300   0.0034   0.0413
   1.2400   0.0028   0.0425
   1.2500   0.0023   0.0438
   1.2600   0.0019   0.0450
   1.2700   0.0015   0.0463
   1.2800   0.0012   0.0475
   1.2900   0.0010   0.0488
   1.3000   0.0008   0.0500
